Sector,Revenue,RevenueRank,conter
Medical/Pharmaceutical,> 10B,12,703
Online Service/Internet-based Services,50M-100M,6,704
Computers/Technology,5B-10B,11,705
Manufacturing/Fabrication,2B-5B,10,706
Computers/Technology,100M-500M,7,707
Manufacturing/Fabrication,100M-500M,7,708
Computers/Technology,2B-5B,10,709
Accounting/Finance,1B-2B,9,710
Telco,> 10B,12,711
Manufacturing/Fabrication,50M-100M,6,712
Online Service/Internet-based Services,25M-50M,5,713
Military/Security/Defense,5M-10M,3,714
Government/Public Service,100M-500M,7,715
Production,10M-25M,4,716
Military/Security/Defense,10M-25M,4,717
Medical/Pharmaceutical,100M-500M,7,718
Manufacturing/Fabrication,5M-10M,3,719
Manufacturing/Fabrication,2B-5B,10,720
Online Service/Internet-based Services,> 10B,12,721
Medical/Pharmaceutical,> 10B,12,722
Computers/Technology,100M-500M,7,723
Accounting/Finance,> 10B,12,724
Manufacturing/Fabrication,> 10B,12,725
Telco,> 10B,12,726
Computers/Technology,500M-1B,8,727
Computers/Technology,5B-10B,11,728
Medical/Pharmaceutical,> 10B,12,729
Accounting/Finance,> 10B,12,730
Manufacturing/Fabrication,> 10B,12,731
Manufacturing/Fabrication,10M-25M,4,732
Medical/Pharmaceutical,100M-500M,7,733
Online Service/Internet-based Services,10M-25M,4,734
Computers/Technology,10M-25M,4,735
Computers/Technology,2B-5B,10,736
Medical/Pharmaceutical,5B-10B,11,737
Manufacturing/Fabrication,2B-5B,10,738
Accounting/Finance,5B-10B,11,739
Medical/Pharmaceutical,> 10B,12,740
Medical/Pharmaceutical,100M-500M,7,741
Online Service/Internet-based Services,50M-100M,6,742
Computers/Technology,2B-5B,10,743
Online Service/Internet-based Services,2M-5M,2,744
Retail/Sales,1B-2B,9,745
Shipping/Transportation,> 10B,12,746
Online Service/Internet-based Services,50M-100M,6,747
Academics/Education,50M-100M,6,748
Insurance/Risk Assessment,> 10B,12,749
Online Service/Internet-based Services,100M-500M,7,750
Insurance/Risk Assessment,> 10B,12,751
Manufacturing/Fabrication,> 10B,12,752
Agriculture,> 10B,12,753
Online Service/Internet-based Services,10M-25M,4,754
Online Service/Internet-based Services,10M-25M,4,755
Manufacturing/Fabrication,> 10B,12,756
Broadcasting/Communications,2M-5M,2,757
Marketing/CRM,25M-50M,5,758
Government/Public Service,100M-500M,7,759
Insurance/Risk Assessment,10M-25M,4,760
Accounting/Finance,> 10B,12,761
Military/Security/Defense,1B-2B,9,762
Online Service/Internet-based Services,5B-10B,11,763
Online Service/Internet-based Services,500M-1B,8,764
Computers/Technology,> 10B,12,765
Medical/Pharmaceutical,10M-25M,4,766
Agriculture,25M-50M,5,767
Computers/Technology,> 10B,12,768
Computers/Technology,5B-10B,11,769
Accounting/Finance,2B-5B,10,770
Computers/Technology,2B-5B,10,771
Medical/Pharmaceutical,> 10B,12,772
Accounting/Finance,> 10B,12,773
Manufacturing/Fabrication,2B-5B,10,774
Online Service/Internet-based Services,50M-100M,6,775
Retail/Sales,5B-10B,11,776
Computers/Technology,500M-1B,8,777
Accounting/Finance,> 10B,12,778
Hospitality/Entertainment/Sports,10M-25M,4,779
Online Service/Internet-based Services,5B-10B,11,780
Online Service/Internet-based Services,> 10B,12,781
Telco,50M-100M,6,782
Insurance/Risk Assessment,100M-500M,7,783
Academics/Education,100M-500M,7,784
Medical/Pharmaceutical,1B-2B,9,785
Accounting/Finance,> 10B,12,786
Online Service/Internet-based Services,5M-10M,3,787
Computers/Technology,> 10B,12,788
Computers/Technology,50M-100M,6,789
Accounting/Finance,2M-5M,2,790
Online Service/Internet-based Services,500M-1B,8,791
Academics/Education,100M-500M,7,792
Computers/Technology,5B-10B,11,793
Manufacturing/Fabrication,1B-2B,9,794
Manufacturing/Fabrication,> 10B,12,795
Online Service/Internet-based Services,5M-10M,3,796
Computers/Technology,1B-2B,9,797
Online Service/Internet-based Services,100M-500M,7,798
Computers/Technology,100M-500M,7,799
Computers/Technology,> 10B,12,800
Shipping/Transportation,25M-50M,5,801
Shipping/Transportation,10M-25M,4,802
Computers/Technology,1B-2B,9,803
Online Service/Internet-based Services,1M-2M,1,804
Computers/Technology,> 10B,12,805
Medical/Pharmaceutical,100M-500M,7,806
Computers/Technology,> 10B,12,807
Computers/Technology,10M-25M,4,808
Computers/Technology,1M-2M,1,809
Computers/Technology,500M-1B,8,810
Online Service/Internet-based Services,2M-5M,2,811
Online Service/Internet-based Services,1B-2B,9,812
Computers/Technology,10M-25M,4,813
Non-profit/Service,1M-2M,1,814
Medical/Pharmaceutical,25M-50M,5,815
Retail/Sales,> 10B,12,816
Computers/Technology,5B-10B,11,817
Online Service/Internet-based Services,2M-5M,2,818
Online Service/Internet-based Services,100M-500M,7,819
Computers/Technology,> 10B,12,820
Online Service/Internet-based Services,> 10B,12,821
Computers/Technology,10M-25M,4,822
Real Estate,100M-500M,7,823
Accounting/Finance,> 10B,12,824
Medical/Pharmaceutical,5B-10B,11,825
Manufacturing/Fabrication,> 10B,12,826
Medical/Pharmaceutical,10M-25M,4,827
Computers/Technology,> 10B,12,828
Accounting/Finance,> 10B,12,829
Medical/Pharmaceutical,10M-25M,4,830
Manufacturing/Fabrication,> 10B,12,831
Computers/Technology,> 10B,12,832
Medical/Pharmaceutical,2B-5B,10,833
Online Service/Internet-based Services,50M-100M,6,834
Online Service/Internet-based Services,100M-500M,7,835
Computers/Technology,> 10B,12,836
Broadcasting/Communications,5B-10B,11,837
Shipping/Transportation,> 10B,12,838
Medical/Pharmaceutical,2B-5B,10,839
Accounting/Finance,2B-5B,10,840
Computers/Technology,25M-50M,5,841
Online Service/Internet-based Services,10M-25M,4,842
Production,2M-5M,2,843
Medical/Pharmaceutical,> 10B,12,844
Computers/Technology,5M-10M,3,845
Online Service/Internet-based Services,5B-10B,11,846
Accounting/Finance,100M-500M,7,847
Computers/Technology,50M-100M,6,848
Computers/Technology,100M-500M,7,849
Computers/Technology,50M-100M,6,850
Manufacturing/Fabrication,> 10B,12,851
Medical/Pharmaceutical,1B-2B,9,852
Online Service/Internet-based Services,50M-100M,6,853
Government/Public Service,> 10B,12,854
Computers/Technology,> 10B,12,855
Accounting/Finance,> 10B,12,856
Manufacturing/Fabrication,5B-10B,11,857
Accounting/Finance,500M-1B,8,858
Online Service/Internet-based Services,> 10B,12,859
Manufacturing/Fabrication,> 10B,12,860
Shipping/Transportation,> 10B,12,861
Computers/Technology,50M-100M,6,862
Online Service/Internet-based Services,100M-500M,7,863
Retail/Sales,10M-25M,4,864
Accounting/Finance,1B-2B,9,865
Food,100M-500M,7,866
Computers/Technology,5B-10B,11,867
Online Service/Internet-based Services,5B-10B,11,868
Computers/Technology,2M-5M,2,869
Computers/Technology,10M-25M,4,870
Marketing/CRM,500M-1B,8,871
Non-profit/Service,50M-100M,6,872
Online Service/Internet-based Services,5M-10M,3,873
Insurance/Risk Assessment,100M-500M,7,874
Computers/Technology,1B-2B,9,875
Insurance/Risk Assessment,500M-1B,8,876
Medical/Pharmaceutical,> 10B,12,877
Telco,> 10B,12,878
Online Service/Internet-based Services,5B-10B,11,879
Computers/Technology,2M-5M,2,880
Manufacturing/Fabrication,100M-500M,7,881
Online Service/Internet-based Services,5M-10M,3,882
Military/Security/Defense,2B-5B,10,883
Online Service/Internet-based Services,25M-50M,5,884
Online Service/Internet-based Services,1B-2B,9,885
Telco,10M-25M,4,886
Online Service/Internet-based Services,25M-50M,5,887
Manufacturing/Fabrication,5B-10B,11,888
Computers/Technology,> 10B,12,889
Academics/Education,500M-1B,8,890
Military/Security/Defense,> 10B,12,891
Computers/Technology,10M-25M,4,892
Medical/Pharmaceutical,> 10B,12,893
Retail/Sales,2B-5B,10,894
Computers/Technology,1M-2M,1,895
Computers/Technology,2B-5B,10,896
Computers/Technology,100M-500M,7,897
Online Service/Internet-based Services,> 10B,12,898
Online Service/Internet-based Services,2B-5B,10,899
Computers/Technology,100M-500M,7,900
Agriculture,10M-25M,4,901
Accounting/Finance,10M-25M,4,902
Computers/Technology,100M-500M,7,903
Retail/Sales,1B-2B,9,904
Manufacturing/Fabrication,> 10B,12,905
Computers/Technology,> 10B,12,906
Accounting/Finance,1B-2B,9,907
Manufacturing/Fabrication,> 10B,12,908
Telco,100M-500M,7,909
Retail/Sales,500M-1B,8,910
Computers/Technology,500M-1B,8,911
Accounting/Finance,2M-5M,2,912
Manufacturing/Fabrication,100M-500M,7,913
Computers/Technology,> 10B,12,914
Manufacturing/Fabrication,> 10B,12,915
Manufacturing/Fabrication,100M-500M,7,916
Accounting/Finance,1B-2B,9,917
Computers/Technology,2B-5B,10,918
Computers/Technology,> 10B,12,919
Computers/Technology,100M-500M,7,920
Accounting/Finance,100M-500M,7,921
Computers/Technology,2B-5B,10,922
Accounting/Finance,> 10B,12,923
Medical/Pharmaceutical,2B-5B,10,924
Medical/Pharmaceutical,10M-25M,4,925
Computers/Technology,100M-500M,7,926
Telco,100M-500M,7,927
Insurance/Risk Assessment,25M-50M,5,928
Computers/Technology,5B-10B,11,929
Online Service/Internet-based Services,1B-2B,9,930
Shipping/Transportation,> 10B,12,931
Computers/Technology,100M-500M,7,932
Online Service/Internet-based Services,2M-5M,2,933
Manufacturing/Fabrication,> 10B,12,934
Retail/Sales,> 10B,12,935
Online Service/Internet-based Services,2B-5B,10,936
Medical/Pharmaceutical,2B-5B,10,937
Medical/Pharmaceutical,> 10B,12,938
Hospitality/Entertainment/Sports,1M-2M,1,939
Retail/Sales,50M-100M,6,940
Medical/Pharmaceutical,100M-500M,7,941
Manufacturing/Fabrication,5B-10B,11,942
Computers/Technology,1M-2M,1,943
Manufacturing/Fabrication,5B-10B,11,944
Shipping/Transportation,> 10B,12,945
Accounting/Finance,100M-500M,7,946
Medical/Pharmaceutical,100M-500M,7,947
Computers/Technology,2B-5B,10,948
Retail/Sales,10M-25M,4,949
Manufacturing/Fabrication,> 10B,12,950
Manufacturing/Fabrication,> 10B,12,951
Online Service/Internet-based Services,100M-500M,7,952
Medical/Pharmaceutical,100M-500M,7,953
Insurance/Risk Assessment,1B-2B,9,954
Medical/Pharmaceutical,100M-500M,7,955
Medical/Pharmaceutical,100M-500M,7,956
Retail/Sales,> 10B,12,957
Medical/Pharmaceutical,2B-5B,10,958
Manufacturing/Fabrication,> 10B,12,959
Manufacturing/Fabrication,100M-500M,7,960
Accounting/Finance,100M-500M,7,961
Computers/Technology,2B-5B,10,962
Broadcasting/Communications,5B-10B,11,963
Computers/Technology,> 10B,12,964
Computers/Technology,> 10B,12,965
Shipping/Transportation,> 10B,12,966
Medical/Pharmaceutical,5B-10B,11,967
Computers/Technology,2M-5M,2,968
Accounting/Finance,> 10B,12,969
Manufacturing/Fabrication,> 10B,12,970
Computers/Technology,> 10B,12,971
Accounting/Finance,1M-2M,1,972
Shipping/Transportation,500M-1B,8,973
Computers/Technology,25M-50M,5,974
Online Service/Internet-based Services,> 10B,12,975
Computers/Technology,25M-50M,5,976
Computers/Technology,25M-50M,5,977
Computers/Technology,5B-10B,11,978
Online Service/Internet-based Services,10M-25M,4,979
Accounting/Finance,100M-500M,7,980
Accounting/Finance,> 10B,12,981
Accounting/Finance,> 10B,12,982
Manufacturing/Fabrication,1B-2B,9,983
Computers/Technology,> 10B,12,984
Telco,> 10B,12,985
Military/Security/Defense,> 10B,12,986
Accounting/Finance,10M-25M,4,987
Accounting/Finance,> 10B,12,988
Computers/Technology,10M-25M,4,989
Manufacturing/Fabrication,> 10B,12,990
Computers/Technology,10M-25M,4,991
Retail/Sales,> 10B,12,992
Retail/Sales,2B-5B,10,993
Accounting/Finance,> 10B,12,994
Computers/Technology,> 10B,12,995
Computers/Technology,10M-25M,4,996
Accounting/Finance,> 10B,12,997
Military/Security/Defense,> 10B,12,998
Food,5B-10B,11,999
Computers/Technology,5M-10M,3,1000
Retail/Sales,2B-5B,10,1001
Accounting/Finance,5B-10B,11,1002
Medical/Pharmaceutical,1B-2B,9,1003
Computers/Technology,2M-5M,2,1004
Computers/Technology,2M-5M,2,1005
Computers/Technology,5B-10B,11,1006
Accounting/Finance,10M-25M,4,1007
Computers/Technology,100M-500M,7,1008
Telco,5B-10B,11,1009
Manufacturing/Fabrication,500M-1B,8,1010
Online Service/Internet-based Services,2B-5B,10,1011
Computers/Technology,100M-500M,7,1012
Medical/Pharmaceutical,25M-50M,5,1013
Agriculture,100M-500M,7,1014
Manufacturing/Fabrication,2B-5B,10,1015
Retail/Sales,2M-5M,2,1016
Computers/Technology,50M-100M,6,1017
Online Service/Internet-based Services,> 10B,12,1018
Computers/Technology,2B-5B,10,1019
Academics/Education,500M-1B,8,1020
Telco,> 10B,12,1021
Accounting/Finance,10M-25M,4,1022
Computers/Technology,1B-2B,9,1023
Insurance/Risk Assessment,100M-500M,7,1024
Accounting/Finance,> 10B,12,1025
Medical/Pharmaceutical,> 10B,12,1026
Computers/Technology,> 10B,12,1027
Computers/Technology,100M-500M,7,1028
Online Service/Internet-based Services,2M-5M,2,1029
Accounting/Finance,5B-10B,11,1030
Computers/Technology,10M-25M,4,1031
Manufacturing/Fabrication,100M-500M,7,1032
Online Service/Internet-based Services,100M-500M,7,1033
Hospitality/Entertainment/Sports,100M-500M,7,1034
Computers/Technology,2B-5B,10,1035
Telco,> 10B,12,1036
Academics/Education,500M-1B,8,1037
Military/Security/Defense,> 10B,12,1038
Online Service/Internet-based Services,100M-500M,7,1039
Computers/Technology,10M-25M,4,1040
Real Estate,5M-10M,3,1041
Online Service/Internet-based Services,50M-100M,6,1042
Manufacturing/Fabrication,> 10B,12,1043
Accounting/Finance,5B-10B,11,1044
Online Service/Internet-based Services,5B-10B,11,1045
Computers/Technology,1M-2M,1,1046
Military/Security/Defense,10M-25M,4,1047
Insurance/Risk Assessment,> 10B,12,1048
Online Service/Internet-based Services,> 10B,12,1049
Manufacturing/Fabrication,> 10B,12,1050
Computers/Technology,1B-2B,9,1051
Computers/Technology,2M-5M,2,1052
Computers/Technology,> 10B,12,1053
Medical/Pharmaceutical,> 10B,12,1054
Military/Security/Defense,2B-5B,10,1055
Manufacturing/Fabrication,50M-100M,6,1056
Medical/Pharmaceutical,> 10B,12,1057
Accounting/Finance,100M-500M,7,1058
Real Estate,100M-500M,7,1059
Agriculture,10M-25M,4,1060
Broadcasting/Communications,> 10B,12,1061
Marketing/CRM,2M-5M,2,1062
Shipping/Transportation,> 10B,12,1063
Online Service/Internet-based Services,2B-5B,10,1064
Medical/Pharmaceutical,> 10B,12,1065
Online Service/Internet-based Services,100M-500M,7,1066
Online Service/Internet-based Services,100M-500M,7,1067
Manufacturing/Fabrication,> 10B,12,1068
Online Service/Internet-based Services,10M-25M,4,1069
Manufacturing/Fabrication,> 10B,12,1070
Manufacturing/Fabrication,> 10B,12,1071
Medical/Pharmaceutical,> 10B,12,1072
Telco,1B-2B,9,1073
Manufacturing/Fabrication,10M-25M,4,1074
Computers/Technology,2B-5B,10,1075
Computers/Technology,2B-5B,10,1076
Shipping/Transportation,2B-5B,10,1077
Medical/Pharmaceutical,100M-500M,7,1078
Online Service/Internet-based Services,2B-5B,10,1079
Manufacturing/Fabrication,> 10B,12,1080
Manufacturing/Fabrication,> 10B,12,1081
Manufacturing/Fabrication,5B-10B,11,1082
Medical/Pharmaceutical,50M-100M,6,1083
Accounting/Finance,> 10B,12,1084
Telco,> 10B,12,1085
Online Service/Internet-based Services,2M-5M,2,1086
Manufacturing/Fabrication,> 10B,12,1087
Non-profit/Service,500M-1B,8,1088
Online Service/Internet-based Services,2B-5B,10,1089
Accounting/Finance,10M-25M,4,1090
Computers/Technology,> 10B,12,1091
Telco,10M-25M,4,1092
Computers/Technology,100M-500M,7,1093
Computers/Technology,50M-100M,6,1094
Broadcasting/Communications,5B-10B,11,1095
Accounting/Finance,> 10B,12,1096
Computers/Technology,50M-100M,6,1097
Online Service/Internet-based Services,> 10B,12,1098
Retail/Sales,10M-25M,4,1099
Online Service/Internet-based Services,5M-10M,3,1100
Computers/Technology,100M-500M,7,1101
Manufacturing/Fabrication,> 10B,12,1102
Online Service/Internet-based Services,25M-50M,5,1103
Medical/Pharmaceutical,100M-500M,7,1104
Manufacturing/Fabrication,> 10B,12,1105
Computers/Technology,100M-500M,7,1106
Medical/Pharmaceutical,> 10B,12,1107
Online Service/Internet-based Services,100M-500M,7,1108
Broadcasting/Communications,5B-10B,11,1109
Military/Security/Defense,100M-500M,7,1110
Online Service/Internet-based Services,5B-10B,11,1111
Real Estate,100M-500M,7,1112
Academics/Education,25M-50M,5,1113
Computers/Technology,50M-100M,6,1114
Online Service/Internet-based Services,500M-1B,8,1115
Online Service/Internet-based Services,10M-25M,4,1116
Medical/Pharmaceutical,> 10B,12,1117
Accounting/Finance,> 10B,12,1118
Computers/Technology,100M-500M,7,1119
Manufacturing/Fabrication,5B-10B,11,1120
Online Service/Internet-based Services,25M-50M,5,1121
Computers/Technology,2B-5B,10,1122
Computers/Technology,10M-25M,4,1123
Accounting/Finance,> 10B,12,1124
Online Service/Internet-based Services,1B-2B,9,1125
Online Service/Internet-based Services,5B-10B,11,1126
Manufacturing/Fabrication,5B-10B,11,1127
Accounting/Finance,100M-500M,7,1128
Manufacturing/Fabrication,100M-500M,7,1129
Online Service/Internet-based Services,2B-5B,10,1130
Government/Public Service,10M-25M,4,1131
Accounting/Finance,2B-5B,10,1132
Online Service/Internet-based Services,2M-5M,2,1133
Accounting/Finance,> 10B,12,1134
Computers/Technology,2B-5B,10,1135
Medical/Pharmaceutical,50M-100M,6,1136
Manufacturing/Fabrication,1B-2B,9,1137
Online Service/Internet-based Services,100M-500M,7,1138
Manufacturing/Fabrication,25M-50M,5,1139
Military/Security/Defense,> 10B,12,1140
Computers/Technology,2B-5B,10,1141
Manufacturing/Fabrication,1M-2M,1,1142
Computers/Technology,1B-2B,9,1143
Retail/Sales,2B-5B,10,1144
Manufacturing/Fabrication,500M-1B,8,1145
Computers/Technology,100M-500M,7,1146
Online Service/Internet-based Services,500M-1B,8,1147
Computers/Technology,50M-100M,6,1148
Food,5B-10B,11,1149
Shipping/Transportation,> 10B,12,1150
Medical/Pharmaceutical,5B-10B,11,1151
Manufacturing/Fabrication,> 10B,12,1152
Manufacturing/Fabrication,> 10B,12,1153
Online Service/Internet-based Services,25M-50M,5,1154
Computers/Technology,> 10B,12,1155
Online Service/Internet-based Services,2M-5M,2,1156
Manufacturing/Fabrication,> 10B,12,1157
Computers/Technology,100M-500M,7,1158
Online Service/Internet-based Services,25M-50M,5,1159
Academics/Education,5B-10B,11,1160
Computers/Technology,> 10B,12,1161
Computers/Technology,> 10B,12,1162
Military/Security/Defense,10M-25M,4,1163
Academics/Education,500M-1B,8,1164
Computers/Technology,100M-500M,7,1165
Hospitality/Entertainment/Sports,5B-10B,11,1166
Accounting/Finance,2B-5B,10,1167
Medical/Pharmaceutical,> 10B,12,1168
Academics/Education,1B-2B,9,1169
Computers/Technology,100M-500M,7,1170
Online Service/Internet-based Services,> 10B,12,1171
Computers/Technology,2B-5B,10,1172
Online Service/Internet-based Services,10M-25M,4,1173
Online Service/Internet-based Services,5B-10B,11,1174
Manufacturing/Fabrication,> 10B,12,1175
Online Service/Internet-based Services,50M-100M,6,1176
Computers/Technology,50M-100M,6,1177
Computers/Technology,50M-100M,6,1178
Broadcasting/Communications,100M-500M,7,1179
Manufacturing/Fabrication,> 10B,12,1180
Manufacturing/Fabrication,> 10B,12,1181
Computers/Technology,100M-500M,7,1182
Computers/Technology,10M-25M,4,1183
Computers/Technology,5B-10B,11,1184
Computers/Technology,500M-1B,8,1185
Computers/Technology,2M-5M,2,1186
Computers/Technology,100M-500M,7,1187
Manufacturing/Fabrication,> 10B,12,1188
Online Service/Internet-based Services,100M-500M,7,1189
